category,word,description,id
basic,?莩之親(가부지친),"갈대 가, 갈대청 부, 갈 지, 친할 친. [풀이] 아주 먼 친척을 이름. 아주 작거나 얇은 것",basic0
basic,과학,자연에서 일어나는 현상을 연구하는 학문. 자연과 인간 사회의 진리나 법칙을 알아내고자 하는 학문.,basic1
basic,관용,다른 사람의 잘못을 너그러이 받아들이거나 용서함. 또는 그런 용서. 오랫동안 습관적으로 자주 써서 그러한 형태로 늘 씀. 또는 그렇게 쓰는 것. 정부나 공공 기관에서 사용함.,basic2
basic,교과서,"학교에서 어떤 과목을 가르치려고 만든 책. (비유적으로) 모범이 될 만한 책, 작품이나 사실.",basic3
basic,교무실,교사들이 수업 준비를 하거나 그 밖의 학교 일을 보는 사무실.,basic4
basic,교실,"유치원, 초등학교, 중학교, 고등학교에서 교사가 학생들을 가르치는 방. 어떤 것을 배우는 모임.",basic5
basic,교육,"개인의 능력을 키우기 위해 지식, 교양, 기술 등을 가르치는 일.",basic6
basic,교장실,교장이 일을 하는 방.,basic7
basic,국,"고기나 생선, 채소 등에 물을 많이 붓고 끓인 음식. 국이나 찌개 등의 음식에서 건더기를 빼고 남은 물.",basic8
basic,과오,잘못이나 실수.,basic9
basic,굴욕,남에게 업신여김을 당해 창피함.,basic10
basic,귀감,본받을 만한 모범. 본보기.,basic11
basic,규율,사회나 조직의 질서를 유지하기 위하여 사람들이 따르도록 정해 놓은 규칙.,basic12
basic,규칙,여러 사람이 지키도록 정해 놓은 법칙. 어떤 일이나 현상에 일정하게 나타나는 질서나 법칙.,basic13
basic,극기,감정이나 욕구 등을 의지로 참아 냄.,basic14
basic,극복,나쁜 조건이나 힘든 일 등을 이겨 냄.,basic15
basic,근면,성실하고 부지런히 일함.,basic16
basic,근무,직장에서 맡은 일을 하는 것. 또는 그런 일.,basic17
basic,긍정,어떤 사실이나 생각이 맞다거나 옳다고 인정함.,basic18
basic,권리,어떤 일을 하거나 다른 사람에게 요구할 수 있는 정당한 힘이나 자격.,basic19
basic,과실,"어떤 일에 주의하지 않아서 생긴 잘못이나 실수. 어떤 일에 주의하지 않아서 앞으로 일어날 일을 미리 내다보지 못한 일. 사과나 배, 포도, 감 등 주로 나무에서 나는, 사람이 먹을 수 있는 열매.",basic20
basic,과소평가,실제 능력이나 가치보다 지나치게 작거나 낮게 평가함. 또는 그런 평가.,basic21
basic,공책,글씨를 쓰거나 그림을 그릴 수 있도록 줄이 쳐져 있거나 빈 종이로 매어 놓은 책.,basic22
basic,결단력,중요한 일을 판단하여 최종적으로 결정하는 능력.,basic23
basic,결심,어떻게 하기로 굳게 마음을 정함. 또는 그런 마음.,basic24
basic,결의,어떤 일을 하기로 굳게 마음을 정함. 또는 그런 마음의 상태. 회의에서 여러 사람의 의견을 모아 결정함. 남남끼리 가족과 같은 관계를 맺음.,basic25
basic,결점,잘못되거나 모자란 부분.,basic26
basic,결함,전체를 완전하지 못하게 하여 흠이 되는 부분.,basic27
basic,겸손,남을 존중하고 자기를 낮추는 마음이나 태도.,basic28
basic,겸양,자기를 낮추면서 남에게 양보함.,basic29
basic,겸허,잘난 체 하지 않고 스스로 자신을 낮춤.,basic30
basic,경시,어떤 대상을 중요하게 보지 않고 하찮게 여김.,basic31
basic,경애,공경하고 사랑함.,basic32
basic,경어,상대를 높이는 말.,basic33
basic,경영,기업이나 사업을 관리하고 운영함.,basic34
basic,경쟁,어떤 분야에서 이기거나 앞서려고 서로 겨룸.,basic35
basic,계획,앞으로의 일을 자세히 생각하여 정함.,basic36
basic,고모,아버지의 누나나 여동생을 이르거나 부르는 말.,basic37
basic,고정 관념,이미 굳어져서 쉽게 바뀌지 않는 생각.,basic38
basic,공부,학문이나 기술을 배워서 지식을 얻음.,basic39
basic,공정성,한쪽으로 치우치지 않고 객관적이고 올바른 성질.,basic40
basic,공존,"두 가지 이상의 현상이나 성질, 사물이 함께 존재함. 서로 도우며 함께 존재함.",basic41
basic,긍지,떳떳하고 자랑스럽게 여기는 마음.,basic42
basic,결단,중요한 일을 판단하여 최종적으로 결정함.,basic43
basic,기념일,"특별한 일이 있을 때, 해마다 그 일이 있었던 날을 잊지 않고 떠올리는 날.",basic44
basic,기대-,"(기대고, 기대는데, 기대, 기대서, 기대니, 기대면, 기댄, 기대는, 기댈, 기댑니다, 기댔다, 기대라)→ 기대다1, 기대다2",basic45
basic,동아리,취미나 뜻이 같은 사람들의 모임.,basic46
basic,등교,학생이 학교에 감.,basic47
basic,리더십,지도자로서의 능력.,basic48
basic,마당,집에 딸려 있는 평평하고 비어 있는 땅. 어떤 일이 벌어지는 곳. 어떤 일이 벌어지는 상황. 판소리나 탈춤을 세는 단위.,basic49
basic,마케팅,상품을 소비자에게 알리고 많이 판매하기 위하여 생산자가 펼치는 전반적인 활동.,basic50
basic,만족감,기대하거나 필요한 만큼 이루어져 즐겁고 흐뭇한 마음.,basic51
basic,말씨,말하는 태도나 버릇. 방언의 차이로 생기는 말의 특징.,basic52
basic,망각,어떤 사실이나 내용을 잊어버림.,basic53
basic,동생,같은 부모에게서 태어난 형제나 친척 형제들 중에서 나이가 적은 사람을 이르거나 부르는 말. 나이가 더 많은 사람이 나이가 어린 사람을 친숙하게 이르거나 부르는 말.,basic54
basic,매너,일상생활에서 갖추는 예의나 자세 또는 행동 방식.,basic55
basic,모범,본받아 배울 만한 행동이나 그러한 행동을 하는 사람.,basic56
basic,모욕,낮추어 보고 창피를 주고 불명예스럽게 함.,basic57
basic,모임,어떤 일을 하기 위하여 여러 사람이 모이는 일. 어떤 목적을 위하여 여러 사람이 함께 조직한 단체.,basic58
basic,모자,예의를 차리거나 추위나 더위 등을 막기 위해 머리에 쓰는 물건. 어머니와 아들.,basic59
basic,모험심,힘들거나 위험할 줄 알면서도 어떤 일을 하려는 마음.,basic60
basic,목표,어떤 목적을 이루기 위하여 도달해야 할 구체적인 대상. 목적으로 삼은 곳.,basic61
basic,무례,말이나 행동에 예의가 없음.,basic62
basic,문명,"사람의 물질적, 기술적, 사회적 생활이 발전한 상태.",basic63
basic,명예,세상으로부터 훌륭하다고 평가되고 인정되는 이름. 어떤 사람의 업적이나 권위를 높이 기리고 존경하는 뜻을 나타내기 위해서 특별히 붙여 주는 이름.,basic64
basic,독서,책을 읽음.,basic65
basic,독립성,남의 간섭이나 도움을 받지 않고 자기 힘으로 어떤 일을 해내려고 하는 성질.,basic66
basic,도전,정면으로 맞서서 싸움을 걺. (비유적으로) 가치 있는 것이나 목표한 것을 얻기 위해 어려움에 맞섬.,basic67
basic,기본권,인간으로서 가지는 기본적인 권리.,basic68
basic,기부,"다른 사람이나 기관, 단체 등을 도울 목적으로 돈이나 재산을 대가 없이 내놓음.",basic69
basic,기술,과학 이론을 실제로 적용하여 인간 생활에 쓸모가 있게 하는 수단. 사물을 잘 다루거나 사용할 수 있는 방법이나 능력. 어떤 사실을 있는 그대로 적음. 또는 그런 기록.,basic70
basic,기회균등,모든 사람에게 기회를 똑같이 줌.,basic71
basic,꿈,잠자는 동안에 깨어 있을 때처럼 보고 듣고 느끼는 정신 현상. 앞으로 이루고 싶은 희망이나 목표. 이루어질 가능성이 아주 적거나 없는 헛된 기대나 생각.,basic72
basic,끈기,끈끈한 성질. 쉽게 포기하지 않고 계속해서 참고 견디는 성질.,basic73
basic,낙관,인생이나 세상을 긍정적이고 희망적으로 봄. 앞날의 일이 잘될 것이라고 믿음. 글씨나 그림 등에 작가가 자신의 이름이나 호를 쓰고 도장을 찍는 일. 또는 그 도장이나 그 도장이 찍힌 것.,basic74
basic,낙천,선거에서 후보자로서 추천을 받지 못함.,basic75
basic,남동생,남자 동생.,basic76
basic,노력,어떤 목적을 이루기 위하여 힘을 들이고 애를 씀. 힘을 들여 일함.,basic77
basic,높임말,사람이나 사물을 높여서 이르는 말.,basic78
basic,다양성,"모양, 색, 구성 등이 여러 가지 많은 특성.",basic79
basic,다짐,이미 한 일이나 앞으로 할 일에 틀림이 없음을 단단히 확인함. 마음을 굳게 먹거나 뜻을 정함.,basic80
basic,단점,모자라거나 흠이 되는 점.,basic81
basic,단합,여러 사람이 한마음으로 뭉침.,basic82
basic,대피,위험을 피해 잠깐 안전한 곳으로 감.,basic83
basic,도덕,"한 사회의 사람들이 말, 행동, 믿음의 좋고 나쁨을 판단하는 정신적 기준이나 가치 체계. 학교에서 한 사회의 가치 체계를 가르치는 과목.",basic84
basic,도덕성,도덕적인 성품.,basic85
basic,도리,사람이 마땅히 지켜야 할 바른 마음가짐이나 몸가짐. 어떤 일을 하거나 문제를 해결하기 위한 방법.,basic86
basic,기대,어떤 일이 이루어지기를 바라며 기다림.,basic87
basic,견학,어떤 일과 관련된 곳을 직접 찾아가서 보고 배움.,basic88
basic,게임,규칙을 정해 이기고 지는 것을 가르는 놀이. 운동 경기나 운동 시합. 경기의 횟수를 세는 단위.,basic89
